field,value,unit
trial_48_ms,71.047,ms
trial_49_ms,70.905,ms
trial_50_ms,65.881,ms
trial_51_ms,65.879,ms
trial_52_ms,65.901,ms
trial_53_ms,70.919,ms
trial_54_ms,76.045,ms
trial_55_ms,70.901,ms
trial_56_ms,70.967,ms
trial_57_ms,65.85,ms
trial_58_ms,65.807,ms
trial_59_ms,70.874,ms
trial_60_ms,70.977,ms
trial_61_ms,71.035,ms
trial_62_ms,70.958,ms
trial_63_ms,70.944,ms
trial_64_ms,71.009,ms
trial_65_ms,76.034,ms
trial_66_ms,70.976,ms
trial_67_ms,70.918,ms
trial_68_ms,70.955,ms
trial_69_ms,70.932,ms
trial_70_ms,65.821,ms
trial_71_ms,70.928,ms
trial_72_ms,70.891,ms
trial_73_ms,70.91,ms
trial_74_ms,65.838,ms
trial_75_ms,70.982,ms
trial_76_ms,70.884,ms
trial_77_ms,70.882,ms
trial_78_ms,70.888,ms
trial_79_ms,70.926,ms
trial_80_ms,70.94,ms
trial_81_ms,70.913,ms
trial_82_ms,65.873,ms
trial_83_ms,70.956,ms
trial_84_ms,70.954,ms
trial_85_ms,70.966,ms
trial_86_ms,70.921,ms
trial_87_ms,65.818,ms
trial_88_ms,75.991,ms
trial_89_ms,70.92,ms
trial_90_ms,70.93,ms
trial_91_ms,70.933,ms
trial_92_ms,65.857,ms
trial_93_ms,71.018,ms
trial_94_ms,70.912,ms
trial_95_ms,70.89,ms
trial_96_ms,70.896,ms
trial_97_ms,70.942,ms
trial_98_ms,70.981,ms
trial_99_ms,70.899,ms
trial_100_ms,70.896,ms
runs,100,
min_ms,65.807,ms
max_ms,91.572,ms
mean_ms,70.59544,ms
median_ms,70.9225,ms
stdev_ms,3.436605,ms

METRICS,,
amd_l2_ic_dc_miss_in_l2,242857,misses
branch_instructions,438998032,branches
branch_mispredictions,700602,misses
cache_misses,266224,misses
cache_references,2056636,references
cpu_cycles,363317834,cycles
dtlb_load_misses,15719,misses
execution_time_ms,70.59544,ms
frontend_stall_cycles,45807188,cycles
instruction_count,1999460225,instructions
ipc,5.503336,insn/cycle
itlb_load_misses,75,misses
l1_cache_misses,807309,misses
l1_icache_misses,133207,misses
l2_cache_misses,242857,misses
ref_cycles,255949924,cycles

PROFILING,,
status,partial,
missing_metrics,"fma_instructions, fp_instructions, vec_instructions",

EXECUTION,,
runner,/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner,
returncode,0,
warmup_runs,3,
repeat_runs,100,
stdout,PASS lines=1048576 sum=15723844160,
ir_path,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse.ll,
perf_status,collected,
routing_input_type,c,
routing_requested_backend,cpu,
routing_selected_backend,cpu,
routing_reason,requested backend resolved for input type,

HARDWARE,,
cpu_model,AMD Ryzen 7 9700X 8-Core Processor,
cpu_vendor,amd,
cpu_architecture,x86_64,
platform,Linux-7.0.0-29-generic-x86_64-with-glibc2.39,
profiler_collector,linux-perf,
profiler_available,true,
perf_tool_available,true,

PIPELINE,,
frontend,clang,
profiler,perf/papi,
execution_backend,cpu,
compiler_steps,source -> clang frontend -> clang -> llvm ir -> llvm ir -> native code,

COMMANDS,,
compile_command_1,/home/aitr/osc/llvm-project/build-stage1/bin/clang -std=c11 -O0 -emit-llvm -S /home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c -o /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse.ll,
compile_command_2,/home/aitr/osc/llvm-project/build-stage1/bin/clang -std=c11 -O0 /home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c -o /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse,
run_command,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse --program-arg 1048576",

ARTIFACTS,,
json,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O0_r100.json,
csv,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O0_r100.csv,
xlsx,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O0_r100.xlsx,
binary,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O0/machine_block_placement_csv_parse,
