field,value,unit
trial_48_ms,65.887,ms
trial_49_ms,65.846,ms
trial_50_ms,65.843,ms
trial_51_ms,65.842,ms
trial_52_ms,65.831,ms
trial_53_ms,65.763,ms
trial_54_ms,65.868,ms
trial_55_ms,65.833,ms
trial_56_ms,65.816,ms
trial_57_ms,65.809,ms
trial_58_ms,70.939,ms
trial_59_ms,65.793,ms
trial_60_ms,65.867,ms
trial_61_ms,65.835,ms
trial_62_ms,65.809,ms
trial_63_ms,65.816,ms
trial_64_ms,65.827,ms
trial_65_ms,65.846,ms
trial_66_ms,65.865,ms
trial_67_ms,65.89,ms
trial_68_ms,65.852,ms
trial_69_ms,65.823,ms
trial_70_ms,65.868,ms
trial_71_ms,65.851,ms
trial_72_ms,65.832,ms
trial_73_ms,75.955,ms
trial_74_ms,65.769,ms
trial_75_ms,65.87,ms
trial_76_ms,65.802,ms
trial_77_ms,65.836,ms
trial_78_ms,65.863,ms
trial_79_ms,65.845,ms
trial_80_ms,65.89,ms
trial_81_ms,65.863,ms
trial_82_ms,65.854,ms
trial_83_ms,65.787,ms
trial_84_ms,65.914,ms
trial_85_ms,65.834,ms
trial_86_ms,65.814,ms
trial_87_ms,65.85,ms
trial_88_ms,65.892,ms
trial_89_ms,65.819,ms
trial_90_ms,65.878,ms
trial_91_ms,65.783,ms
trial_92_ms,65.844,ms
trial_93_ms,65.869,ms
trial_94_ms,65.916,ms
trial_95_ms,65.893,ms
trial_96_ms,65.901,ms
trial_97_ms,65.898,ms
trial_98_ms,65.872,ms
trial_99_ms,65.86,ms
trial_100_ms,65.839,ms
runs,100,
min_ms,65.763,ms
max_ms,75.955,ms
mean_ms,66.25777,ms
median_ms,65.8515,ms
stdev_ms,1.56395,ms

METRICS,,
amd_l2_ic_dc_miss_in_l2,266766,misses
branch_instructions,403116721,branches
branch_mispredictions,628398,misses
cache_misses,252402,misses
cache_references,1916023,references
cpu_cycles,349377869,cycles
dtlb_load_misses,16454,misses
execution_time_ms,66.25777,ms
frontend_stall_cycles,42898709,cycles
instruction_count,1844983941,instructions
ipc,5.280769,insn/cycle
itlb_load_misses,172,misses
l1_cache_misses,852763,misses
l1_icache_misses,119219,misses
l2_cache_misses,266766,misses
ref_cycles,242186391,cycles

PROFILING,,
status,partial,
missing_metrics,"fma_instructions, fp_instructions, vec_instructions",

EXECUTION,,
runner,/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner,
returncode,0,
warmup_runs,3,
repeat_runs,100,
stdout,PASS lines=1048576 sum=15723844160,
ir_path,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse.ll,
perf_status,collected,
routing_input_type,c,
routing_requested_backend,cpu,
routing_selected_backend,cpu,
routing_reason,requested backend resolved for input type,

HARDWARE,,
cpu_model,AMD Ryzen 7 9700X 8-Core Processor,
cpu_vendor,amd,
cpu_architecture,x86_64,
platform,Linux-7.0.0-29-generic-x86_64-with-glibc2.39,
profiler_collector,linux-perf,
profiler_available,true,
perf_tool_available,true,

PIPELINE,,
frontend,clang,
profiler,perf/papi,
execution_backend,cpu,
compiler_steps,source -> clang frontend -> clang -> llvm ir -> llvm ir -> native code,

COMMANDS,,
compile_command_1,/home/aitr/osc/llvm-project/build-stage1/bin/clang -std=c11 -O1 -emit-llvm -S /home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c -o /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse.ll,
compile_command_2,/home/aitr/osc/llvm-project/build-stage1/bin/clang -std=c11 -O1 /home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c -o /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse,
run_command,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse --program-arg 1048576",

ARTIFACTS,,
json,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O1_r100.json,
csv,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O1_r100.csv,
xlsx,/home/aitr/reaserch/technical/compilers/llvm/results/csperf/testcase_O1_r100.xlsx,
binary,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O1/machine_block_placement_csv_parse,
