backend,baseline_input,candidate_input,kind,metric,unit,baseline_name,baseline_value,candidate_name,candidate_value,diff,diff_percent,direction,change,which_is_better
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,frontend_stall_cycles,cycles,clang-O1,42898709.0,clang-O2,60669973.0,17771264.0,41.426104,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,frontend_stall_ratio_pct,%,clang-O1,12.2786,clang-O2,16.554,4.2754,34.819931,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,instruction_count,instructions,clang-O1,1844983941.0,clang-O2,1889797245.0,44813304.0,2.428927,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,ipc,insn/cycle,clang-O1,5.2808,clang-O2,5.1564,-0.1244,-2.355704,higher_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,itlb_load_misses,misses,clang-O1,172.0,clang-O2,88.0,-84.0,-48.837209,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l1_cache_misses,misses,clang-O1,852763.0,clang-O2,855654.0,2891.0,0.339016,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l1_icache_misses,misses,clang-O1,119219.0,clang-O2,130941.0,11722.0,9.832325,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l2_cache_misses,misses,clang-O1,266766.0,clang-O2,235840.0,-30926.0,-11.592932,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l2_per_l1_miss_pct,%,clang-O1,31.2825,clang-O2,27.5625,-3.72,-11.891633,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,ref_cycles,cycles,clang-O1,242186391.0,clang-O2,257981799.0,15795408.0,6.522005,lower_is_better,regression,clang-O1
