backend,baseline_input,candidate_input,kind,metric,unit,baseline_name,baseline_value,candidate_name,candidate_value,diff,diff_percent,direction,change,which_is_better
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,frontend_stall_cycles,cycles,clang-O1,42898709.0,clang-O2,47779684.0,4880975.0,11.377907,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,frontend_stall_ratio_pct,%,clang-O1,12.2786,clang-O2,13.3905,1.1119,9.055593,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,instruction_count,instructions,clang-O1,1844983941.0,clang-O2,1876152054.0,31168113.0,1.689343,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,ipc,insn/cycle,clang-O1,5.2808,clang-O2,5.258,-0.0228,-0.431753,higher_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,itlb_load_misses,misses,clang-O1,172.0,clang-O2,149.0,-23.0,-13.372093,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l1_cache_misses,misses,clang-O1,852763.0,clang-O2,843303.0,-9460.0,-1.109335,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l1_icache_misses,misses,clang-O1,119219.0,clang-O2,125930.0,6711.0,5.629136,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l2_cache_misses,misses,clang-O1,266766.0,clang-O2,268579.0,1813.0,0.679622,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,l2_per_l1_miss_pct,%,clang-O1,31.2825,clang-O2,31.8485,0.566,1.809318,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,ref_cycles,cycles,clang-O1,242186391.0,clang-O2,250604486.0,8418095.0,3.475874,lower_is_better,regression,clang-O1
